,tweet_id,favorites,retweet_count
950,704859558691414016,2419,601
951,704871453724954624,4527,1224
952,705066031337840642,2329,664
953,705102439679201280,2306,569
954,705223444686888960,2767,883
955,705239209544720384,3217,825
956,705428427625635840,4094,1873
957,705442520700944385,4779,1819
958,705475953783398401,3178,1016
959,705591895322394625,3401,1275
960,705786532653883392,2094,585
961,705898680587526145,2543,626
962,705970349788291072,3370,982
963,705975130514706432,3327,816
964,706166467411222528,5522,1770
965,706265994973601792,2919,1007
966,706291001778950144,1824,513
967,706310011488698368,23019,8790
968,706346369204748288,3695,1012
969,706516534877929472,3329,1134
970,706538006853918722,3707,1544
971,706593038911545345,2311,693
972,706644897839910912,2766,1202
973,706681918348251136,3555,1066
974,706901761596989440,2221,664
975,707014260413456384,2464,650
976,707021089608753152,4349,1510
977,707038192327901184,2360,881
978,707059547140169728,2756,743
979,707297311098011648,2954,883
980,707315916783140866,2646,706
981,707377100785885184,3524,1182
982,707387676719185920,3762,1440
983,707411934438625280,2438,658
984,707420581654872064,2443,771
985,707610948723478529,18198,7065
986,707693576495472641,3671,1100
987,707741517457260545,2668,673
988,707776935007539200,3516,1043
989,707969809498152960,2890,1067
990,707995814724026368,3326,1231
991,708026248782585858,4677,2114
992,708109389455101952,2076,592
993,708119489313951744,2878,1071
994,708130923141795840,3635,923
995,708149363256774660,4571,1687
996,708349470027751425,2523,811
997,708356463048204288,3866,1485
998,708469915515297792,3298,898
999,708479650088034305,2728,746
1000,708711088997666817,2729,803
1001,708738143638450176,2933,895
1002,708810915978854401,17699,7644
1003,708834316713893888,1824,552
1004,708845821941387268,3177,986
1005,709042156699303936,5107,1810
1006,709158332880297985,2192,455
1007,709198395643068416,2582,704
1008,709207347839836162,13506,6412
1009,709225125749587968,2568,630
1010,709409458133323776,2806,764
1011,709449600415961088,2381,652
1012,709519240576036864,1592,265
1013,709556954897764353,3520,1168
1014,709566166965075968,3779,1332
1015,709852847387627521,3755,1311
1016,709901256215666688,717,109
1017,709918798883774466,3194,1183
1018,710117014656950272,5888,2193
1019,710140971284037632,2962,982
1020,710153181850935296,3105,974
1021,710269109699739648,2570,1233
1022,710272297844797440,4842,1380
1023,710283270106132480,2276,568
1024,710588934686908417,4885,2057
1025,710658690886586372,2468,621
1026,710833117892898816,2881,590
1027,710844581445812225,2727,754
1028,710997087345876993,4872,1534
1029,711008018775851008,3206,689
1030,711306686208872448,3537,803
1031,711363825979756544,3919,1254
1032,711652651650457602,4143,1010
1033,711694788429553666,35184,20023
1034,711732680602345472,9540,4529
1035,711743778164514816,3039,1081
1036,711968124745228288,8615,2534
1037,711998809858043904,0,137
1038,712065007010385924,2418,691
1039,712085617388212225,3460,538
1040,712092745624633345,3153,993
1041,712097430750289920,4068,1145
1042,712438159032893441,5690,1712
1043,712668654853337088,4449,1333
1044,712717840512598017,13231,5468
1045,712809025985978368,19936,7403
1046,713175907180089344,4765,1598
1047,713177543487135744,7704,3114
1048,713411074226274305,4711,1414
1049,713761197720473600,5213,1511
1050,713900603437621249,3016,817
1051,713919462244790272,3495,853
1052,714141408463036416,4600,1534
1053,714214115368108032,2428,965
1054,714251586676113411,3500,923
1055,714258258790387713,3218,788
1056,714606013974974464,3872,1022
1057,714631576617938945,3497,1097
1058,714957620017307648,4420,1556
1059,714982300363173890,4014,1132
1060,715009755312439296,4464,1362
1061,715200624753819648,5479,2061
1062,715220193576927233,2575,722
1063,715342466308784130,3233,753
1064,715360349751484417,5849,1725
1065,715680795826982913,4625,1781
1066,715696743237730304,4180,1417
1067,715733265223708672,4989,1859
1068,715928423106027520,3426,963
1069,716080869887381504,5228,1914
1070,716285507865542656,2973,1196
1071,716439118184652801,2527,241
1072,716791146589110272,5910,1521
1073,716802964044845056,4560,1286
1074,717009362452090881,3494,1076
1075,717047459982213120,6705,2090
1076,717421804990701568,3371,927
1077,717537687239008257,6166,2017
1078,717790033953034240,3103,1241
1079,717841801130979328,2619,655
1080,718234618122661888,4135,1098
1081,718246886998687744,2057,551
1082,718454725339934721,5217,1648
1083,718460005985447936,2890,584
1084,718540630683709445,2668,1110
1085,718613305783398402,2617,529
1086,718631497683582976,20274,8873
1087,718939241951195136,5611,1924
1088,718971898235854848,3734,1206
1089,719332531645071360,3649,1046
1090,719339463458033665,4714,1369
1091,719367763014393856,2979,809
1092,719551379208073216,5405,2121
1093,719704490224398336,4879,1589
1094,719991154352222208,5174,1924
1095,720043174954147842,5242,2198
1096,720059472081784833,4158,1241
1097,720340705894408192,3063,1072
1098,720389942216527872,6859,2767
1099,720415127506415616,4409,1637
1100,720775346191278080,2645,745
1101,720785406564900865,3333,845
1102,721001180231503872,2698,675
1103,721503162398597120,4987,2059
1104,722613351520608256,5299,1794
1105,722974582966214656,4395,1721
1106,723179728551723008,5671,2057
1107,723673163800948736,3233,980
1108,723688335806480385,8269,3270
1109,723912936180330496,4153,1344
1110,724004602748780546,4478,1735
1111,724046343203856385,2850,608
1112,724049859469295616,4643,1939
1113,724405726123311104,5682,1808
1114,724771698126512129,2542,702
1115,724983749226668032,3964,1432
1116,725729321944506368,5538,1953
1117,725786712245440512,4454,1489
1118,725842289046749185,7546,2902
1119,726224900189511680,4722,1274
1120,726828223124897792,3799,1101
1121,726887082820554753,4109,1649
1122,726935089318363137,7362,2683
1123,727175381690781696,4139,1499
1124,727286334147182592,3248,901
1125,727314416056803329,3552,821
1126,727524757080539137,4789,1348
1127,727644517743104000,6324,1920
1128,727685679342333952,3143,698
1129,728015554473250816,4399,1200
1130,728035342121635841,4868,1836
1131,728046963732717569,4624,1290
1132,728387165835677696,3934,1048
1133,728409960103686147,5283,2214
1134,728653952833728512,3546,1144
1135,728751179681943552,2992,742
1136,728760639972315136,4998,1864
1137,728986383096946689,3398,895
1138,729113531270991872,2022,362
1139,729463711119904772,6227,2530
1140,729823566028484608,4275,1363
1141,729838605770891264,1826,419
1142,729854734790754305,4310,1226
1143,730196704625098752,5243,2117
1144,730211855403241472,4102,1152
1145,730427201120833536,3720,1148
1146,730573383004487680,5280,2373
1147,730924654643314689,6570,2176
1148,731156023742988288,4109,1394
1149,731285275100512256,3737,1075
1150,732005617171337216,16007,6007
1151,732375214819057664,8671,2763
1152,732585889486888962,3951,849
1153,732726085725589504,3790,970
1154,732732193018155009,2614,588
1155,733109485275860992,45578,17424
1156,733460102733135873,4515,1411
1157,733482008106668032,3370,1043
1158,733822306246479872,3944,1110
1159,733828123016450049,3859,855
1160,734776360183431168,2689,594
1161,734787690684657664,13480,6935
1162,734912297295085568,2934,566
